id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
21685737,1405113,3846120,0,1,7700,2018-09-01,1900-01-01,2079-06-06,"{""ID"": ""21685737"", ""VALUE"": ""7700"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3846120"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2018-09-01"", ""CHANGEIDEND"": ""0""}"
21685816,1405113,3846120,0,2,7700,2018-09-01,1900-01-01,2079-06-06,"{""ID"": ""21685816"", ""VALUE"": ""7700"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3846120"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2018-09-01"", ""CHANGEIDEND"": ""0""}"
21685857,1405113,3846120,0,6,45000000000,2018-09-01,1900-01-01,2079-06-06,"{""ID"": ""21685857"", ""VALUE"": ""45000000000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3846120"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2018-09-01"", ""CHANGEIDEND"": ""0""}"
648132325,1405113,3846120,0,7,45000000,2018-09-01,1900-01-01,2079-06-06,"{""ID"": ""648132325"", ""VALUE"": ""45000000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3846120"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2018-09-01"", ""CHANGEIDEND"": ""0""}"
21686449,1405113,3846120,783226720,10,7700000000001,2026-06-13,1900-01-01,2026-06-13,"{""ID"": ""21686449"", ""VALUE"": ""7700000000001"", ""TYPEID"": ""10"", ""ENDDATE"": ""2026-06-13"", ""CHANGEID"": ""3846120"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2026-06-13"", ""CHANGEIDEND"": ""783226720""}"
1747761445,1405113,783226720,0,10,7700000000000,2026-06-13,2026-06-13,2079-06-06,"{""ID"": ""1747761445"", ""VALUE"": ""7700000000000"", ""TYPEID"": ""10"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""783226720"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""2026-06-13"", ""UPDATEDATE"": ""2026-06-13"", ""CHANGEIDEND"": ""0""}"
21686653,1405113,3846120,0,13,450000000000000000001,2018-09-01,1900-01-01,2079-06-06,"{""ID"": ""21686653"", ""VALUE"": ""450000000000000000001"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3846120"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2018-09-01"", ""CHANGEIDEND"": ""0""}"
1435266203,1405113,539713038,0,21,45000000,2023-09-22,2023-09-22,2079-06-06,"{""ID"": ""1435266203"", ""VALUE"": ""45000000"", ""TYPEID"": ""21"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""539713038"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""2023-09-22"", ""UPDATEDATE"": ""2023-09-22"", ""CHANGEIDEND"": ""0""}"
22326855,1447085,3981615,0,1,7704,2016-05-12,1900-01-01,2079-06-06,"{""ID"": ""22326855"", ""VALUE"": ""7704"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3981615"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2016-05-12"", ""CHANGEIDEND"": ""0""}"
22327186,1447085,3981615,0,2,7704,2016-05-12,1900-01-01,2079-06-06,"{""ID"": ""22327186"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3981615"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2016-05-12"", ""CHANGEIDEND"": ""0""}"
22327664,1447085,3981615,0,6,45286552000,2016-05-12,1900-01-01,2079-06-06,"{""ID"": ""22327664"", ""VALUE"": ""45286552000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3981615"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2016-05-12"", ""CHANGEIDEND"": ""0""}"
22327519,1447085,3981615,0,7,45374000,2016-05-12,1900-01-01,2079-06-06,"{""ID"": ""22327519"", ""VALUE"": ""45374000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3981615"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2016-05-12"", ""CHANGEIDEND"": ""0""}"
22327680,1447085,3981615,3981888,10,77000000000075801,2016-05-12,1900-01-01,2016-05-10,"{""ID"": ""22327680"", ""VALUE"": ""77000000000075801"", ""TYPEID"": ""10"", ""ENDDATE"": ""2016-05-10"", ""CHANGEID"": ""3981615"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2016-05-12"", ""CHANGEIDEND"": ""3981888""}"
22328211,1447085,3981888,783231964,10,77000000000075802,2026-06-13,2016-05-10,2026-06-13,"{""ID"": ""22328211"", ""VALUE"": ""77000000000075802"", ""TYPEID"": ""10"", ""ENDDATE"": ""2026-06-13"", ""CHANGEID"": ""3981888"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""2016-05-10"", ""UPDATEDATE"": ""2026-06-13"", ""CHANGEIDEND"": ""783231964""}"
1747766689,1447085,783231964,0,10,77000000000075800,2026-06-13,2026-06-13,2079-06-06,"{""ID"": ""1747766689"", ""VALUE"": ""77000000000075800"", ""TYPEID"": ""10"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""783231964"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""2026-06-13"", ""UPDATEDATE"": ""2026-06-13"", ""CHANGEIDEND"": ""0""}"
22327693,1447085,3981615,3981888,13,453740000000000075800,2016-05-12,1900-01-01,2016-05-10,"{""ID"": ""22327693"", ""VALUE"": ""453740000000000075800"", ""TYPEID"": ""13"", ""ENDDATE"": ""2016-05-10"", ""CHANGEID"": ""3981615"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2016-05-12"", ""CHANGEIDEND"": ""3981888""}"
22328369,1447085,3981888,0,13,453740000000000075801,2016-05-10,2016-05-10,2079-06-06,"{""ID"": ""22328369"", ""VALUE"": ""453740000000000075801"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3981888"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""2016-05-10"", ""UPDATEDATE"": ""2016-05-10"", ""CHANGEIDEND"": ""0""}"
22327704,1447085,3981615,0,15,0758,2016-05-12,1900-01-01,2079-06-06,"{""ID"": ""22327704"", ""VALUE"": ""0758"", ""TYPEID"": ""15"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3981615"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2016-05-12"", ""CHANGEIDEND"": ""0""}"
1435326838,1447085,539773673,0,21,45374000,2023-09-22,2023-09-22,2079-06-06,"{""ID"": ""1435326838"", ""VALUE"": ""45374000"", ""TYPEID"": ""21"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""539773673"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""2023-09-22"", ""UPDATEDATE"": ""2023-09-22"", ""CHANGEIDEND"": ""0""}"
