id,object_id,parent_object_id,change_id,region_code,area_code,city_code,place_code,plan_code,street_code,path,update_date,start_date,end_date,is_active,raw_attributes
1,1000,,1,77,,,,,,1000,2026-09-17,2026-09-17,2079-06-06,true,{}
2,1001,1000,1,77,,,,,001,1000.1001,2026-09-17,2026-09-17,2079-06-06,true,{}
3,1002,1000,1,77,,,,,002,1000.1002,2026-09-17,2026-09-17,2079-06-06,true,{}
4,2000,1001,1,77,,,,,001,1000.1001.2000,2026-09-17,2026-09-17,2079-06-06,true,{}
5,2001,1002,1,77,,,,,002,1000.1002.2001,2026-09-17,2026-09-17,2079-06-06,true,{}
6,3000,2000,1,77,,,,,001,1000.1001.2000.3000,2026-09-17,2026-09-17,2079-06-06,true,{}
7,3001,2000,1,77,,,,,001,1000.1001.2000.3001,2026-09-17,2026-09-17,2079-06-06,true,{}
8,3002,2001,1,77,,,,,002,1000.1002.2001.3002,2026-09-17,2026-09-17,2079-06-06,true,{}
9,4000,2001,1,77,,,,,002,1000.1002.2001.4000,2026-09-17,2026-09-17,2079-06-06,true,{}
10,5000,3002,1,77,,,,,002,1000.1002.2001.3002.5000,2026-09-17,2026-09-17,2079-06-06,true,{}
11,6000,1002,1,77,,,,,002,1000.1002.6000,2026-09-17,2026-09-17,2079-06-06,true,{}
