id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
580282712,66969104,99862693,0,8,77:01:0001058:1432,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""580282712"", ""VALUE"": ""77:01:0001058:1432"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99862693"", ""OBJECTID"": ""66969104"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
580282764,66969104,99862693,0,13,453740000000000075840059000000000,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""580282764"", ""VALUE"": ""453740000000000075840059000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99862693"", ""OBJECTID"": ""66969104"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
580296626,66969287,99862923,0,8,77:01:0001058:1476,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""580296626"", ""VALUE"": ""77:01:0001058:1476"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99862923"", ""OBJECTID"": ""66969287"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
580296627,66969287,99862923,0,13,453740000000000075840059000000000,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""580296627"", ""VALUE"": ""453740000000000075840059000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99862923"", ""OBJECTID"": ""66969287"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
581607692,66969410,99863105,0,8,77:01:0001058:1461,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""581607692"", ""VALUE"": ""77:01:0001058:1461"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863105"", ""OBJECTID"": ""66969410"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
581607694,66969410,99863105,0,13,453740000000000075840059000000000,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""581607694"", ""VALUE"": ""453740000000000075840059000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863105"", ""OBJECTID"": ""66969410"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
582054386,66969416,99863117,0,8,77:01:0001058:1449,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""582054386"", ""VALUE"": ""77:01:0001058:1449"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863117"", ""OBJECTID"": ""66969416"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
582054408,66969416,99863117,0,13,453740000000000075840059000000000,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""582054408"", ""VALUE"": ""453740000000000075840059000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863117"", ""OBJECTID"": ""66969416"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
623543320,66969420,99863125,0,8,77:01:0001058:1462,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""623543320"", ""VALUE"": ""77:01:0001058:1462"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863125"", ""OBJECTID"": ""66969420"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
623543328,66969420,99863125,0,13,453740000000000075840059000000000,2019-04-08,1900-01-01,2079-06-06,"{""ID"": ""623543328"", ""VALUE"": ""453740000000000075840059000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863125"", ""OBJECTID"": ""66969420"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-04-08"", ""CHANGEIDEND"": ""0""}"
