id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
375643632,66965999,99858397,0,1,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375643632"", ""VALUE"": ""7704"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375643634,66965999,99858397,0,2,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375643634"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375643651,66965999,99858397,0,5,119002,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375643651"", ""VALUE"": ""119002"", ""TYPEID"": ""5"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375643646,66965999,99858397,0,6,45286552000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375643646"", ""VALUE"": ""45286552000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375643640,66965999,99858397,0,7,45374000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375643640"", ""VALUE"": ""45374000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
1359939320,66965999,486748521,0,8,77:01:0001058:1014,2022-11-25,2022-11-25,2079-06-06,"{""ID"": ""1359939320"", ""VALUE"": ""77:01:0001058:1014"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""486748521"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""2022-11-25"", ""UPDATEDATE"": ""2022-11-25"", ""CHANGEIDEND"": ""0""}"
375643688,66965999,99858397,0,13,453740000000000075820059000000000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375643688"", ""VALUE"": ""453740000000000075820059000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375643691,66965999,99858397,0,14,1,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375643691"", ""VALUE"": ""1"", ""TYPEID"": ""14"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375643733,66965999,99858397,0,15,59,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375643733"", ""VALUE"": ""59"", ""TYPEID"": ""15"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
1394601293,66965999,505522362,0,19,1,2023-06-11,2023-06-11,2079-06-06,"{""ID"": ""1394601293"", ""VALUE"": ""1"", ""TYPEID"": ""19"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""505522362"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""2023-06-11"", ""UPDATEDATE"": ""2023-06-11"", ""CHANGEIDEND"": ""0""}"
1438365441,66965999,542812276,0,21,45374000,2023-09-23,2023-09-23,2079-06-06,"{""ID"": ""1438365441"", ""VALUE"": ""45374000"", ""TYPEID"": ""21"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""542812276"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""2023-09-23"", ""UPDATEDATE"": ""2023-09-23"", ""CHANGEIDEND"": ""0""}"
375791131,66992955,99897439,0,1,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375791131"", ""VALUE"": ""7704"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99897439"", ""OBJECTID"": ""66992955"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375791689,66992955,99897439,0,2,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375791689"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99897439"", ""OBJECTID"": ""66992955"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
