id,object_id,object_guid,change_id,house_num,build_num,struc_num,house_type,add_type1,add_num1,add_type2,add_num2,operation_type_id,update_date,start_date,end_date,is_actual,is_active,raw_attributes
40333030,66965999,6fd61d6a-9b9a-43c6-8a7c-5ff3aa6e0776,99858397,45/24,,,2,,,,,10,2019-02-23,1900-01-01,2079-06-06,t,t,"{""ID"": ""40333030"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""HOUSENUM"": ""45/24"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""66965999"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""6fd61d6a-9b9a-43c6-8a7c-5ff3aa6e0776"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-02-23""}"
40349221,66992955,c591710b-537c-4e94-adcc-83d26c8ab131,99897439,18/1,,,2,2,2,,,10,2019-02-23,1900-01-01,2079-06-06,t,t,"{""ID"": ""40349221"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ADDNUM1"": ""2"", ""ENDDATE"": ""2079-06-06"", ""ADDTYPE1"": ""2"", ""CHANGEID"": ""99897439"", ""HOUSENUM"": ""18/1"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""66992955"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""c591710b-537c-4e94-adcc-83d26c8ab131"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-02-23""}"
40356710,67005852,9625bb3a-f549-49b4-aad6-92ba618c16de,99915975,38/1,,,2,2,2,,,10,2019-02-23,1900-01-01,2079-06-06,t,t,"{""ID"": ""40356710"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ADDNUM1"": ""2"", ""ENDDATE"": ""2079-06-06"", ""ADDTYPE1"": ""2"", ""CHANGEID"": ""99915975"", ""HOUSENUM"": ""38/1"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67005852"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""9625bb3a-f549-49b4-aad6-92ba618c16de"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-02-23""}"
40364572,67020241,151b9095-9f1d-4ab5-afc6-db971eed9d49,99936378,4,,,2,2,1,,,10,2019-11-13,1900-01-01,2019-11-11,f,f,"{""ID"": ""40364572"", ""NEXTID"": ""52876515"", ""PREVID"": ""0"", ""ADDNUM1"": ""1"", ""ENDDATE"": ""2019-11-11"", ""ADDTYPE1"": ""2"", ""CHANGEID"": ""99936378"", ""HOUSENUM"": ""4"", ""ISACTIVE"": ""0"", ""ISACTUAL"": ""0"", ""OBJECTID"": ""67020241"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""151b9095-9f1d-4ab5-afc6-db971eed9d49"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-11-13""}"
52876515,67020241,151b9095-9f1d-4ab5-afc6-db971eed9d49,99937149,4,,,2,2,1,,,20,2019-11-13,2019-11-11,2079-06-06,t,t,"{""ID"": ""52876515"", ""NEXTID"": ""0"", ""PREVID"": ""40364572"", ""ADDNUM1"": ""1"", ""ENDDATE"": ""2079-06-06"", ""ADDTYPE1"": ""2"", ""CHANGEID"": ""99937149"", ""HOUSENUM"": ""4"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67020241"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""2019-11-11"", ""OBJECTGUID"": ""151b9095-9f1d-4ab5-afc6-db971eed9d49"", ""OPERTYPEID"": ""20"", ""UPDATEDATE"": ""2019-11-13""}"
40371274,67032388,9f2b9cdd-0689-4f2f-aefc-a5f1169daafd,99953632,27/47,,,2,,,,,10,2019-02-23,1900-01-01,2079-06-06,t,t,"{""ID"": ""40371274"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""HOUSENUM"": ""27/47"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67032388"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""9f2b9cdd-0689-4f2f-aefc-a5f1169daafd"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-02-23""}"
40371939,67036019,1766d8db-392c-4a95-a11d-a9ef563900e5,99957801,24,,,2,,,,,10,2017-12-18,1900-01-01,2079-06-06,t,t,"{""ID"": ""40371939"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99957801"", ""HOUSENUM"": ""24"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67036019"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""1766d8db-392c-4a95-a11d-a9ef563900e5"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2017-12-18""}"
40381030,67054680,e843c363-4724-444d-bb9e-1b63e2ec9d91,99983162,25/36,,,2,,,,,10,2019-02-23,1900-01-01,2079-06-06,t,t,"{""ID"": ""40381030"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99983162"", ""HOUSENUM"": ""25/36"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67054680"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""e843c363-4724-444d-bb9e-1b63e2ec9d91"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-02-23""}"
40382091,67057052,a33e1af1-9cc3-4476-b301-207007c52f97,99986371,20,,,2,,,,,10,2019-02-23,1900-01-01,2079-06-06,t,t,"{""ID"": ""40382091"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99986371"", ""HOUSENUM"": ""20"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67057052"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""a33e1af1-9cc3-4476-b301-207007c52f97"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-02-23""}"
40392049,67072689,02610f39-f1c6-43f9-9e80-ca49ae7eaa21,100009809,39,,,2,,,,,10,2019-02-23,1900-01-01,2079-06-06,t,t,"{""ID"": ""40392049"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""100009809"", ""HOUSENUM"": ""39"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67072689"", ""HOUSETYPE"": ""2"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""02610f39-f1c6-43f9-9e80-ca49ae7eaa21"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-02-23""}"
