id,object_id,parent_object_id,change_id,region_code,area_code,city_code,place_code,plan_code,street_code,path,update_date,start_date,end_date,is_active,oktmo,raw_attributes
20965,1405113,,3846120,,,,,,,1405113,2011-11-01,2011-11-01,2079-06-06,t,45000000,"{""ID"": ""20965"", ""PATH"": ""1405113"", ""OKTMO"": ""45000000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""3846120"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""1405113"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01""}"
58559916,1447085,95251254,99868480,,,,,,,1405113.95251254.1447085,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58559916"", ""PATH"": ""1405113.95251254.1447085"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99868480"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""1447085"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""95251254""}"
58559922,66965999,1447085,99858397,,,,,,,1405113.95251254.1447085.66965999,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58559922"", ""PATH"": ""1405113.95251254.1447085.66965999"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99858397"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""66965999"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""1447085""}"
58609843,66969104,66965999,99862693,,,,,,,1405113.95251254.1447085.66965999.66969104,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58609843"", ""PATH"": ""1405113.95251254.1447085.66965999.66969104"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99862693"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""66969104"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""66965999""}"
58609858,66969287,66965999,99862923,,,,,,,1405113.95251254.1447085.66965999.66969287,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58609858"", ""PATH"": ""1405113.95251254.1447085.66965999.66969287"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99862923"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""66969287"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""66965999""}"
58610630,66969410,66965999,99863105,,,,,,,1405113.95251254.1447085.66965999.66969410,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58610630"", ""PATH"": ""1405113.95251254.1447085.66965999.66969410"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863105"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""66969410"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""66965999""}"
58610648,66969416,66965999,99863117,,,,,,,1405113.95251254.1447085.66965999.66969416,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58610648"", ""PATH"": ""1405113.95251254.1447085.66965999.66969416"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863117"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""66969416"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""66965999""}"
58610668,66969420,66965999,99863125,,,,,,,1405113.95251254.1447085.66965999.66969420,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58610668"", ""PATH"": ""1405113.95251254.1447085.66965999.66969420"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99863125"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""66969420"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""66965999""}"
58614053,66970805,66965999,99865301,,,,,,,1405113.95251254.1447085.66965999.66970805,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58614053"", ""PATH"": ""1405113.95251254.1447085.66965999.66970805"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99865301"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""66970805"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""66965999""}"
58614074,66970811,66970805,99865316,,,,,,,1405113.95251254.1447085.66965999.66970805.66970811,2011-11-01,2011-11-01,2079-06-06,t,45374000,"{""ID"": ""58614074"", ""PATH"": ""1405113.95251254.1447085.66965999.66970805.66970811"", ""OKTMO"": ""45374000"", ""NEXTID"": ""0"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99865316"", ""ISACTIVE"": ""1"", ""OBJECTID"": ""66970811"", ""STARTDATE"": ""2011-11-01"", ""UPDATEDATE"": ""2011-11-01"", ""PARENTOBJID"": ""66970805""}"
