id,name,number,document_date,document_type,document_kind,update_date,organization_name,registration_number,registration_date,acceptance_date,comment,raw_attributes
931567,О присвоении адреса объекту адресации,33597,2019-08-27,15,2,2019-10-17,Департамент городского имущества города Москвы,,2019-08-27,2019-08-27,,"{""ID"": ""931567"", ""DATE"": ""2019-08-27"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""33597"", ""ACCDATE"": ""2019-08-27"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""REGDATE"": ""2019-08-27"", ""UPDATEDATE"": ""2019-10-17""}"
2656103,О присвоении адреса объекту адресации,13486,2017-05-12,15,2,2019-08-03,,,,,,"{""ID"": ""2656103"", ""DATE"": ""2017-05-12"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""13486"", ""UPDATEDATE"": ""2019-08-03""}"
2781880,О присвоении адреса объекту адресации,32700,2019-08-21,15,2,2019-08-30,Департамент городского имущества города Москвы,,2019-08-21,2019-08-21,,"{""ID"": ""2781880"", ""DATE"": ""2019-08-21"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""32700"", ""ACCDATE"": ""2019-08-21"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""REGDATE"": ""2019-08-21"", ""UPDATEDATE"": ""2019-08-30""}"
3413196,"О предварительном согласовании предоставления земельного участка по адресу: г. Москва, ул. Арбат, вл. 28/1 стр. 2",36214,2018-10-29,15,2,2019-02-14,ДГИ города Москвы,,,2018-10-29,,"{""ID"": ""3413196"", ""DATE"": ""2018-10-29"", ""KIND"": ""2"", ""NAME"": ""О предварительном согласовании предоставления земельного участка по адресу: г. Москва, ул. Арбат, вл. 28/1 стр. 2"", ""TYPE"": ""15"", ""NUMBER"": ""36214"", ""ACCDATE"": ""2018-10-29"", ""ORGNAME"": ""ДГИ города Москвы"", ""UPDATEDATE"": ""2019-02-14""}"
5558865,О присвоении адреса объекту адресации,37715,2018-11-09,15,2,2019-08-11,Департамент городского имущества города Москвы,,2018-11-09,2018-11-09,,"{""ID"": ""5558865"", ""DATE"": ""2018-11-09"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""37715"", ""ACCDATE"": ""2018-11-09"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""REGDATE"": ""2018-11-09"", ""UPDATEDATE"": ""2019-08-11""}"
6654893,Об утверждении наименований элементов улично-дорожной сети,5746,2016-03-23,15,2,2017-12-18,,,,,,"{""ID"": ""6654893"", ""DATE"": ""2016-03-23"", ""KIND"": ""2"", ""NAME"": ""Об утверждении наименований элементов улично-дорожной сети"", ""TYPE"": ""15"", ""NUMBER"": ""5746"", ""UPDATEDATE"": ""2017-12-18""}"
11595238,О присвоении адреса объекту адресации,33414,2019-08-26,15,2,2019-10-07,Департамент городского имущества города Москвы,,2019-08-26,2019-08-26,,"{""ID"": ""11595238"", ""DATE"": ""2019-08-26"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""33414"", ""ACCDATE"": ""2019-08-26"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""REGDATE"": ""2019-08-26"", ""UPDATEDATE"": ""2019-10-07""}"
15253119,О присвоении адреса объекту адресации,11820,2019-03-28,15,2,2019-08-11,Департамент городского имущества города Москвы,,2019-03-28,2019-03-28,,"{""ID"": ""15253119"", ""DATE"": ""2019-03-28"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""11820"", ""ACCDATE"": ""2019-03-28"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""REGDATE"": ""2019-03-28"", ""UPDATEDATE"": ""2019-08-11""}"
16700551,Об утверждении адреса и изменении разрешенного использования земельного участка,38219,2016-12-12,15,2,2017-12-18,,,,,,"{""ID"": ""16700551"", ""DATE"": ""2016-12-12"", ""KIND"": ""2"", ""NAME"": ""Об утверждении адреса и изменении разрешенного использования земельного участка"", ""TYPE"": ""15"", ""NUMBER"": ""38219"", ""UPDATEDATE"": ""2017-12-18""}"
17042163,Об утверждении списков адресов жилых и нежилых строений,6700-р,2003-11-18,15,2,2019-11-11,Префект Центрального административного округа города Москвы,,,2003-11-18,,"{""ID"": ""17042163"", ""DATE"": ""2003-11-18"", ""KIND"": ""2"", ""NAME"": ""Об утверждении списков адресов жилых и нежилых строений"", ""TYPE"": ""15"", ""NUMBER"": ""6700-р"", ""ACCDATE"": ""2003-11-18"", ""ORGNAME"": ""Префект Центрального административного округа города Москвы"", ""UPDATEDATE"": ""2019-11-11""}"
18023273,О присвоении адреса объекту адресации,10738,2017-04-14,15,2,2019-08-03,,,,,,"{""ID"": ""18023273"", ""DATE"": ""2017-04-14"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""10738"", ""UPDATEDATE"": ""2019-08-03""}"
18687290,О присвоении адреса объекту адресации,29270,2019-07-31,15,2,2019-08-11,Департамент городского имущества города Москвы,,2019-07-31,2019-07-31,,"{""ID"": ""18687290"", ""DATE"": ""2019-07-31"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""29270"", ""ACCDATE"": ""2019-07-31"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""REGDATE"": ""2019-07-31"", ""UPDATEDATE"": ""2019-08-11""}"
19528420,О присвоении адресов объектам адресации,9433,2020-03-23,15,2,2020-05-15,Департамент городского имущества города Москвы,,,2020-03-23,,"{""ID"": ""19528420"", ""DATE"": ""2020-03-23"", ""KIND"": ""2"", ""NAME"": ""О присвоении адресов объектам адресации"", ""TYPE"": ""15"", ""NUMBER"": ""9433"", ""ACCDATE"": ""2020-03-23"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""2020-05-15""}"
20152098,О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре,7643,2020-03-06,15,2,2021-02-16,Департамент городского имущества города Москвы,,,2020-03-06,,"{""ID"": ""20152098"", ""DATE"": ""2020-03-06"", ""KIND"": ""2"", ""NAME"": ""О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре"", ""TYPE"": ""15"", ""NUMBER"": ""7643"", ""ACCDATE"": ""2020-03-06"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""2021-02-16""}"
20324986,Об утверждении адреса объекта нового строительства,706-р,2012-10-02,15,2,2021-04-20,Префект центрального административного округа города Москвы,,,2012-10-02,,"{""ID"": ""20324986"", ""DATE"": ""2012-10-02"", ""KIND"": ""2"", ""NAME"": ""Об утверждении адреса объекта нового строительства"", ""TYPE"": ""15"", ""NUMBER"": ""706-р"", ""ACCDATE"": ""2012-10-02"", ""ORGNAME"": ""Префект центрального административного округа города Москвы"", ""UPDATEDATE"": ""2021-04-20""}"
20560027,Об утверждении списков адресов жилых и нежилых строении,6700-р,2003-11-18,15,2,2021-07-21,Префект Центрального Административного округа города Москвы,,,2003-11-18,,"{""ID"": ""20560027"", ""DATE"": ""2003-11-18"", ""KIND"": ""2"", ""NAME"": ""Об утверждении списков адресов жилых и нежилых строении"", ""TYPE"": ""15"", ""NUMBER"": ""6700-р"", ""ACCDATE"": ""2003-11-18"", ""ORGNAME"": ""Префект Центрального Административного округа города Москвы"", ""UPDATEDATE"": ""2021-07-21""}"
20560560,Об утверждении списков адресов жилых и нежилых строении,6701-р,2003-11-18,15,2,2021-07-21,Префект Центрального Административного округа города Москвы,,,2003-11-18,,"{""ID"": ""20560560"", ""DATE"": ""2003-11-18"", ""KIND"": ""2"", ""NAME"": ""Об утверждении списков адресов жилых и нежилых строении"", ""TYPE"": ""15"", ""NUMBER"": ""6701-р"", ""ACCDATE"": ""2003-11-18"", ""ORGNAME"": ""Префект Центрального Административного округа города Москвы"", ""UPDATEDATE"": ""2021-07-21""}"
20687272,О присвоении адреса объекту адресации,37063,2021-08-27,15,2,2021-09-06,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,,,2021-08-27,,"{""ID"": ""20687272"", ""DATE"": ""2021-08-27"", ""KIND"": ""2"", ""NAME"": ""О присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""37063"", ""ACCDATE"": ""2021-08-27"", ""ORGNAME"": ""ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ"", ""UPDATEDATE"": ""2021-09-06""}"
20687930,О присвоении адресов объектам адресации,37736,2021-08-31,15,2,2021-09-06,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,,,2021-08-31,,"{""ID"": ""20687930"", ""DATE"": ""2021-08-31"", ""KIND"": ""2"", ""NAME"": ""О присвоении адресов объектам адресации"", ""TYPE"": ""15"", ""NUMBER"": ""37736"", ""ACCDATE"": ""2021-08-31"", ""ORGNAME"": ""ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ"", ""UPDATEDATE"": ""2021-09-06""}"
21536969,Распоряжение ДГИ о присвоении адреса объекту адресации,35973,2019-09-11,15,2,1900-01-01,Департамент городского имущества города Москвы,,,2019-09-11,,"{""ID"": ""21536969"", ""DATE"": ""2019-09-11"", ""KIND"": ""2"", ""NAME"": ""Распоряжение ДГИ о присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""35973"", ""ACCDATE"": ""2019-09-11"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""1900-01-01""}"
21559295,Распоряжение ДГИ о присвоении адреса объекту адресации,25439,2022-05-16,15,2,1900-01-01,Департамент городского имущества города Москвы,,,2022-05-16,,"{""ID"": ""21559295"", ""DATE"": ""2022-05-16"", ""KIND"": ""2"", ""NAME"": ""Распоряжение ДГИ о присвоении адреса объекту адресации"", ""TYPE"": ""15"", ""NUMBER"": ""25439"", ""ACCDATE"": ""2022-05-16"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""1900-01-01""}"
21760168,Об аннулировании и присвоении адресов объектов адресации,52328,2022-09-13,15,2,2022-09-19,Департамент городского имущества города Москвы,,,2022-09-13,,"{""ID"": ""21760168"", ""DATE"": ""2022-09-13"", ""KIND"": ""2"", ""NAME"": ""Об аннулировании и присвоении адресов объектов адресации"", ""TYPE"": ""15"", ""NUMBER"": ""52328"", ""ACCDATE"": ""2022-09-13"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""2022-09-19""}"
21883647,Распоряжение ДГИ о размещении реквизитов объектов адресации,63088,2022-10-28,15,1,1900-01-01,Департамент городского имущества города Москвы,,,2022-10-28,,"{""ID"": ""21883647"", ""DATE"": ""2022-10-28"", ""KIND"": ""1"", ""NAME"": ""Распоряжение ДГИ о размещении реквизитов объектов адресации"", ""TYPE"": ""15"", ""NUMBER"": ""63088"", ""ACCDATE"": ""2022-10-28"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""1900-01-01""}"
21892607,Распоряжение ДГИ о размещении реквизитов объектов адресации,63681,2022-11-01,15,1,1900-01-01,Департамент городского имущества города Москвы,,,2022-11-01,,"{""ID"": ""21892607"", ""DATE"": ""2022-11-01"", ""KIND"": ""1"", ""NAME"": ""Распоряжение ДГИ о размещении реквизитов объектов адресации"", ""TYPE"": ""15"", ""NUMBER"": ""63681"", ""ACCDATE"": ""2022-11-01"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""1900-01-01""}"
22056574,Об аннулировании и присвоении адресов объектов адресации,74342,2022-12-19,15,2,2022-12-26,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,,,2022-12-19,,"{""ID"": ""22056574"", ""DATE"": ""2022-12-19"", ""KIND"": ""2"", ""NAME"": ""Об аннулировании и присвоении адресов объектов адресации"", ""TYPE"": ""15"", ""NUMBER"": ""74342"", ""ACCDATE"": ""2022-12-19"", ""ORGNAME"": ""ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ"", ""UPDATEDATE"": ""2022-12-26""}"
22364862,О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре,47713,2021-10-25,15,1,2023-04-13,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,,,2021-10-25,,"{""ID"": ""22364862"", ""DATE"": ""2021-10-25"", ""KIND"": ""1"", ""NAME"": ""О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре"", ""TYPE"": ""15"", ""NUMBER"": ""47713"", ""ACCDATE"": ""2021-10-25"", ""ORGNAME"": ""ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ"", ""UPDATEDATE"": ""2023-04-13""}"
25772167,О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре,47713,2021-10-25,15,1,2025-01-27,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,,,2021-10-25,,"{""ID"": ""25772167"", ""DATE"": ""2021-10-25"", ""KIND"": ""1"", ""NAME"": ""О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре"", ""TYPE"": ""15"", ""NUMBER"": ""47713"", ""ACCDATE"": ""2021-10-25"", ""ORGNAME"": ""ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ"", ""UPDATEDATE"": ""2025-01-27""}"
25772414,О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре,47713,2021-10-25,15,1,2025-01-27,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,,,2021-10-25,,"{""ID"": ""25772414"", ""DATE"": ""2021-10-25"", ""KIND"": ""1"", ""NAME"": ""О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре"", ""TYPE"": ""15"", ""NUMBER"": ""47713"", ""ACCDATE"": ""2021-10-25"", ""ORGNAME"": ""ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ"", ""UPDATEDATE"": ""2025-01-27""}"
26171602,О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре,44575,2025-03-17,15,1,2025-03-18,Департамент городского имущества города Москвы,,,2025-03-17,,"{""ID"": ""26171602"", ""DATE"": ""2025-03-17"", ""KIND"": ""1"", ""NAME"": ""О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре"", ""TYPE"": ""15"", ""NUMBER"": ""44575"", ""ACCDATE"": ""2025-03-17"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""2025-03-18""}"
27586613,О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре,110645,2025-10-20,15,1,2025-10-21,Департамент городского имущества города Москвы,,,2025-10-20,,"{""ID"": ""27586613"", ""DATE"": ""2025-10-20"", ""KIND"": ""1"", ""NAME"": ""О размещении реквизитов объектов адресации в Адресном реестре объектов недвижимости города Москвы и государственном адресном реестре"", ""TYPE"": ""15"", ""NUMBER"": ""110645"", ""ACCDATE"": ""2025-10-20"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""2025-10-21""}"
29121523,Об утверждении наименований элементов улично-дорожной сети,5746,2016-03-23,15,2,2026-05-27,Департамент городского имущества города Москвы,,,2026-05-27,,"{""ID"": ""29121523"", ""DATE"": ""2016-03-23"", ""KIND"": ""2"", ""NAME"": ""Об утверждении наименований элементов улично-дорожной сети"", ""TYPE"": ""15"", ""NUMBER"": ""5746"", ""ACCDATE"": ""2026-05-27"", ""ORGNAME"": ""Департамент городского имущества города Москвы"", ""UPDATEDATE"": ""2026-05-27""}"
