id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
375675248,66970811,99865316,0,8,77:01:0001058:2628,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""375675248"", ""VALUE"": ""77:01:0001058:2628"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99865316"", ""OBJECTID"": ""66970811"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
593526840,66970811,99865316,0,13,453740000000000075840059000000000,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""593526840"", ""VALUE"": ""453740000000000075840059000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99865316"", ""OBJECTID"": ""66970811"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
375675284,66971737,99866724,0,8,77:01:0001058:2629,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""375675284"", ""VALUE"": ""77:01:0001058:2629"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99866724"", ""OBJECTID"": ""66971737"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
628348720,66971737,99866724,0,13,453740000000000075840059000000000,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""628348720"", ""VALUE"": ""453740000000000075840059000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99866724"", ""OBJECTID"": ""66971737"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
375869490,67008169,99919176,0,8,77:01:0001060:1992,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""375869490"", ""VALUE"": ""77:01:0001060:1992"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99919176"", ""OBJECTID"": ""67008169"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
600347693,67008169,99919176,0,13,453740000000000075840044000000000,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""600347693"", ""VALUE"": ""453740000000000075840044000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99919176"", ""OBJECTID"": ""67008169"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
375871446,67008777,99919983,0,8,77:01:0001060:2145,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""375871446"", ""VALUE"": ""77:01:0001060:2145"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99919983"", ""OBJECTID"": ""67008777"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
593033013,67008777,99919983,0,13,453740000000000075840044000000000,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""593033013"", ""VALUE"": ""453740000000000075840044000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99919983"", ""OBJECTID"": ""67008777"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
375946393,67023091,99940308,0,8,77:01:0001046:2204,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""375946393"", ""VALUE"": ""77:01:0001046:2204"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99940308"", ""OBJECTID"": ""67023091"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
628933251,67023091,99940308,0,13,453740000000000075840082000000000,2019-10-12,1900-01-01,2079-06-06,"{""ID"": ""628933251"", ""VALUE"": ""453740000000000075840082000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99940308"", ""OBJECTID"": ""67023091"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-10-12"", ""CHANGEIDEND"": ""0""}"
