id,object_id,object_guid,change_id,number,room_type,operation_type_id,update_date,start_date,end_date,is_actual,is_active,raw_attributes
377971,66970811,58dcc8ad-b668-4cb6-be93-c3f2721d067b,99865316,1,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""377971"", ""NEXTID"": ""0"", ""NUMBER"": ""1"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99865316"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""66970811"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""58dcc8ad-b668-4cb6-be93-c3f2721d067b"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
377981,66971737,ed434491-0834-4159-81cd-6a04dd9b69d0,99866724,3,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""377981"", ""NEXTID"": ""0"", ""NUMBER"": ""3"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99866724"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""66971737"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""ed434491-0834-4159-81cd-6a04dd9b69d0"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378387,67008169,64d82aa7-7201-442d-9311-adc6083b5482,99919176,2,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378387"", ""NEXTID"": ""0"", ""NUMBER"": ""2"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99919176"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67008169"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""64d82aa7-7201-442d-9311-adc6083b5482"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378404,67008777,8fb1e272-a547-4fbe-8b6f-e12a9aefcbcd,99919983,3,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378404"", ""NEXTID"": ""0"", ""NUMBER"": ""3"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99919983"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67008777"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""8fb1e272-a547-4fbe-8b6f-e12a9aefcbcd"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378488,67023091,5e46a8c9-af47-450b-8c43-7a7def07a8dd,99940308,7,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378488"", ""NEXTID"": ""0"", ""NUMBER"": ""7"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99940308"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67023091"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""5e46a8c9-af47-450b-8c43-7a7def07a8dd"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378489,67023128,72a3c5ee-621e-48b9-a0d5-4cdb7a3d9a46,99940349,6,1,10,2019-10-18,1900-01-01,2079-06-06,t,t,"{""ID"": ""378489"", ""NEXTID"": ""0"", ""NUMBER"": ""6"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99940349"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67023128"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""72a3c5ee-621e-48b9-a0d5-4cdb7a3d9a46"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-18""}"
378531,67034646,320507da-66d8-490a-a039-ac0a64c41bf2,99956223,2,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378531"", ""NEXTID"": ""0"", ""NUMBER"": ""2"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99956223"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67034646"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""320507da-66d8-490a-a039-ac0a64c41bf2"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378532,67034712,5f64806e-7066-4c6f-aad9-e5339d052996,99956308,6,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378532"", ""NEXTID"": ""0"", ""NUMBER"": ""6"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99956308"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67034712"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""5f64806e-7066-4c6f-aad9-e5339d052996"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378687,67056075,1a823020-5a7f-4b16-a8e1-e6a7b9059803,99985054,6,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378687"", ""NEXTID"": ""0"", ""NUMBER"": ""6"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99985054"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67056075"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""1a823020-5a7f-4b16-a8e1-e6a7b9059803"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378688,67056114,77cb6a96-c41f-4803-849e-e5f3050153e7,99985111,7,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378688"", ""NEXTID"": ""0"", ""NUMBER"": ""7"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99985111"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67056114"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""77cb6a96-c41f-4803-849e-e5f3050153e7"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378708,67060477,32eeaad3-55c0-4724-9850-54e782a5d63e,99991595,3,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378708"", ""NEXTID"": ""0"", ""NUMBER"": ""3"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99991595"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67060477"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""32eeaad3-55c0-4724-9850-54e782a5d63e"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378710,67060862,36bcb0f1-a569-4484-9de8-5f0dc235af77,99992142,2,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378710"", ""NEXTID"": ""0"", ""NUMBER"": ""2"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99992142"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67060862"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""36bcb0f1-a569-4484-9de8-5f0dc235af77"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378834,67086695,4f3633df-35cf-4ca2-8349-80a0e1d07b72,100030990,4,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378834"", ""NEXTID"": ""0"", ""NUMBER"": ""4"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""100030990"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67086695"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""4f3633df-35cf-4ca2-8349-80a0e1d07b72"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
378835,67086709,58715b8f-4b9a-4e44-b280-0510966a69db,100031014,2,1,10,2019-10-12,1900-01-01,2079-06-06,t,t,"{""ID"": ""378835"", ""NEXTID"": ""0"", ""NUMBER"": ""2"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""100031014"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""67086709"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""1900-01-01"", ""OBJECTGUID"": ""58715b8f-4b9a-4e44-b280-0510966a69db"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2019-10-12""}"
554843,104922674,30b1ddc8-ec2f-4e00-adcf-3fb2309ebc9f,286288966,10,1,10,2022-07-06,2022-07-06,2079-06-06,t,t,"{""ID"": ""554843"", ""NEXTID"": ""0"", ""NUMBER"": ""10"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""286288966"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""104922674"", ""ROOMTYPE"": ""1"", ""STARTDATE"": ""2022-07-06"", ""OBJECTGUID"": ""30b1ddc8-ec2f-4e00-adcf-3fb2309ebc9f"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2022-07-06""}"
