id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
489651750,86491480,128290015,0,1,7704,2017-01-23,2017-01-20,2079-06-06,"{""ID"": ""489651750"", ""VALUE"": ""7704"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""128290015"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""UPDATEDATE"": ""2017-01-23"", ""CHANGEIDEND"": ""0""}"
489651754,86491480,128290015,0,2,7704,2017-01-23,2017-01-20,2079-06-06,"{""ID"": ""489651754"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""128290015"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""UPDATEDATE"": ""2017-01-23"", ""CHANGEIDEND"": ""0""}"
489652010,86491480,128290015,0,5,119002,2017-01-23,2017-01-20,2079-06-06,"{""ID"": ""489652010"", ""VALUE"": ""119002"", ""TYPEID"": ""5"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""128290015"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""UPDATEDATE"": ""2017-01-23"", ""CHANGEIDEND"": ""0""}"
489651911,86491480,128290015,0,6,45286552000,2017-01-23,2017-01-20,2079-06-06,"{""ID"": ""489651911"", ""VALUE"": ""45286552000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""128290015"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""UPDATEDATE"": ""2017-01-23"", ""CHANGEIDEND"": ""0""}"
489651836,86491480,128290015,0,7,45374000,2017-01-23,2017-01-20,2079-06-06,"{""ID"": ""489651836"", ""VALUE"": ""45374000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""128290015"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""UPDATEDATE"": ""2017-01-23"", ""CHANGEIDEND"": ""0""}"
489652066,86491480,128290015,0,8,77:01:0001046:2,2017-01-23,2017-01-20,2079-06-06,"{""ID"": ""489652066"", ""VALUE"": ""77:01:0001046:2"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""128290015"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""UPDATEDATE"": ""2017-01-23"", ""CHANGEIDEND"": ""0""}"
489652132,86491480,128290015,0,13,453740000000000075810101000000005,2017-01-23,2017-01-20,2022-09-30,"{""ID"": ""489652132"", ""VALUE"": ""453740000000000075810101000000005"", ""TYPEID"": ""13"", ""ENDDATE"": ""2022-09-30"", ""CHANGEID"": ""128290015"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""UPDATEDATE"": ""2017-01-23"", ""CHANGEIDEND"": ""0""}"
860806755,86491480,299264240,0,13,453740000000000075810101000000010,2022-09-30,2022-09-30,2079-06-06,"{""ID"": ""860806755"", ""VALUE"": ""453740000000000075810101000000010"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""299264240"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2022-09-30"", ""UPDATEDATE"": ""2022-09-30"", ""CHANGEIDEND"": ""0""}"
489652220,86491480,128290015,0,15,101,2017-01-23,2017-01-20,2079-06-06,"{""ID"": ""489652220"", ""VALUE"": ""101"", ""TYPEID"": ""15"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""128290015"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""UPDATEDATE"": ""2017-01-23"", ""CHANGEIDEND"": ""0""}"
1435815667,86491480,540262502,0,21,45374000,2023-09-22,2023-09-22,2079-06-06,"{""ID"": ""1435815667"", ""VALUE"": ""45374000"", ""TYPEID"": ""21"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""540262502"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2023-09-22"", ""UPDATEDATE"": ""2023-09-22"", ""CHANGEIDEND"": ""0""}"
